network,timestamp,text
MSNBC,11:17:00,"COMEY: WROTE TRUMP MEMOS BECAUSE
""I WAS HONESTLY CONCERNED THAT HE MIGHT LIE"""
FOX,11:17:10,COMEY: RUSSIA PROBE PLAYED ROLE IN MY FIRING
CNN,11:17:30,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
MSNBC,11:17:40,COMEY: TRUMP LIED ABOUT REASONS FOR FIRING
FOX,11:17:50,COMEY: PRESIDENT TRUMP ASKED ME FOR LOYALTY
MSNBC,11:18:10,"COMEY: I TAKE TRUMP ""AT HIS WORD"" THAT I
WAS FIRED ""BECAUSE OF THE RUSSIA INVESTIGATION"""
FOX,11:18:20,"COMEY: THE PRESIDENT WAS
NOT UNDER INVESTIGATION"
CNN,11:18:30,"COMEY: TRUMP ADMIN ""CHOSE TO DEFAME ME"" AND FBI

Says ""those were lies, plain & simple"""
FOX,11:18:40,COMEY: NOT FOR ME TO SAY IF TRUMP OBSTRUCTED
MSNBC,11:18:50,"COMEY: ""LORDY, I HOPE THERE ARE TAPES"" OF TRUMP MEETINGS"
CNN,11:19:10,COMEY: l TOOK TRUMP'S WORDS AS DIRECTION
MSNBC,11:19:20,"COMEY: ""SURE"" SPECIAL COUNSEL IS LOOKING
INTO WHETHER TRUMP OBSTRUCTED JUSTICE"
FOX,11:20:00,"COMEY: THE PRESIDENT WAS
NOT UNDER INVESTIGATION"
MSNBC,11:20:10,"COMEY: WROTE MEETING NOTES BECAUSE I ""KNEW""
I MIGHT NEED RECORD TO DEFEND MYSELF, FBI"
CNN,11:20:20,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
FOX,11:20:30,COMEY: NOBODY ASKED ME TO STOP RUSSIA PROBE
MSNBC,11:20:30,"COMEY: WROTE TRUMP MEMOS BECAUSE
""I WAS HONESTLY CONCERNED THAT HE MIGHT LIE"""
FOX,11:20:50,"COMEY: GENERAL FLYNN WAS IN LEGAL JEOPARDY
AT TIME OF FEBRUARY 14 CONVERSATION"
MSNBC,11:21:00,COMEY: TRUMP LIED ABOUT REASONS FOR FIRING
